cpu_processing,mem_processing,RESIDUE,            TPR,CLASS
0.882,0.845,-0.037,244,1
0.879,0.844,-0.035,251,1
0.902,0.845,-0.057,259,1
0.79,0.842,0.052,258,1
0.748,0.841,0.093,264,1
0.676,0.842,0.166,235,1
0.762,0.847,0.085,254,1
0.762,0.847,0.085,254,1
0.813,0.847,0.034,261,1
0.717,0.852,0.135,235,1
0.683,0.851,0.168,232,1
0.678,0.85,0.172,248,1
0.924,0.85,-0.074,249,1
0.862,0.85,-0.012,258,1
0.821,0.853,0.032,246,1
0.798,0.853,0.055,258,1
0.845,0.852,0.007,263,1
0.956,0.852,-0.104,256,1
0.784,0.85,0.066,261,1
0.842,0.85,0.008,257,1
0.895,0.852,-0.043,268,1
0.924,0.764,-0.16,249,1
0.865,0.764,-0.101,238,1
0.853,0.764,-0.089,252,1
0.865,0.764,-0.101,248,1
0.921,0.764,-0.157,267,1
0.865,0.764,-0.101,254,1
0.834,0.761,-0.073,253,1
0.846,0.761,-0.085,251,1
0.798,0.758,-0.04,249,1
0.901,0.758,-0.143,261,1
0.89,0.761,-0.129,262,1
0.864,0.761,-0.103,235,1
0.8,0.767,-0.033,210,1
0.892,0.767,-0.125,248,1
0.924,0.766,-0.158,255,1
0.857,0.766,-0.091,248,1
0.865,0.766,-0.099,248,1
0.962,0.766,-0.196,248,1
0.845,0.766,-0.079,248,1
0.864,0.764,-0.1,248,1
0.789,0.762,-0.027,248,1
0.858,0.763,-0.095,248,1
0.896,0.761,-0.135,248,1
0.912,0.765,-0.147,248,1
0.856,0.77,-0.086,250,1
0.845,0.798,-0.047,253,1
0.882,0.823,-0.059,254,1
0.879,0.842,-0.037,256,1
0.902,0.863,-0.039,260,1
0.865,0.858,-0.007,258,1
0.889,0.86,-0.029,258,1
0.824,0.867,0.043,262,1
0.869,0.871,0.002,264,1
0.904,0.871,-0.033,264,1
0.875,0.869,-0.006,264,1
0.928,0.867,-0.061,264,1
0.854,0.868,0.014,264,1
0.865,0.871,0.006,264,1
0.798,0.876,0.078,266,1
0.853,0.884,0.031,266,1
0.895,0.878,-0.017,266,1
0.882,0.862,-0.02,266,1
0.865,0.86,-0.005,266,1
0.915,0.859,-0.056,266,1
0.954,0.859,-0.095,266,1
0.885,0.852,-0.033,266,1
0.891,0.846,-0.045,266,1
0.897,0.844,-0.053,266,1
0.894,0.843,-0.051,266,1
0.874,0.844,-0.03,266,1
0.94,0.842,-0.098,266,1
0.858,0.842,-0.016,266,1
0.896,0.845,-0.051,266,1
0.912,0.847,-0.065,262,1
0.856,0.845,-0.011,254,1
0.905,0.845,-0.06,263,1
0.882,0.847,-0.035,268,1
0.879,0.847,-0.032,262,1
0.902,0.847,-0.055,259,1
0.865,0.847,-0.018,254,1
0.838,0.844,0.006,260,1
0.824,0.843,0.019,250,1
0.869,0.842,-0.027,254,1
0.832,0.834,0.002,261,1
0.875,0.834,-0.041,246,1
0.928,0.832,-0.096,253,1
0.854,0.86,0.006,253,1
0.865,0.86,-0.005,265,1
0.798,0.832,-0.034,264,1
0.853,0.831,-0.022,253,1
0.895,0.9,0.005,204,1
0.882,0.89,0.008,248,1
0.865,0.874,0.009,261,1
0.915,0.832,-0.093,246,1
0.954,0.833,-0.121,254,1
0.885,0.891,0.006,261,1
0.891,0.832,-0.059,243,1
0.897,0.832,-0.065,252,1
